trial,accuracy,cost_impossible,cost_minor,cost_no_match,fgw_alpha,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
76,0.7222792607802875,40.79298103017237,0.2860211006414722,1.7995782077382123,0.5815089883343821,0.1759138971795836,0.20261324029244343,12.662217123673745,178.81406719246837,3.720975024978971,1.4980024015714606,1.9513588091117382,1.8498123577586576,2.8225182956748265,3.275287221411404,150,1,0,1,1,1,0
79,0.697327852004111,45.61051095348811,0.2123299181843779,1.4709136182364926,0.604639586390531,0.16325855486501034,0.14161388650997814,10.340935887555515,88.58199004924496,2.1859934138597286,2.1014497815026196,3.2730893663745553,0.593808205138211,2.1272916119352185,3.455849837076528,110,1,0,1,1,1,1
80,0.7225077081192189,17.24950418552432,0.24475276615775482,1.1955618312150027,0.7150527095665448,0.23312374570368088,0.16258192977117708,4.332225737115159,156.7438933865938,4.683425332342304,2.7222659803673106,3.400240884713369,2.851089259290885,2.002920753681577,3.770751754702104,120,1,0,1,1,1,1
81,0.7255002565418163,12.914764730744158,0.27814728443421727,1.254578254944605,0.7306545539810719,0.2219631412751405,0.17481251065473974,8.048010429088126,192.33826694565212,4.377683285590651,1.707362594557577,2.581436862973465,0.5630657838900481,2.190476482217238,3.4149017890492495,160,1,0,1,1,1,0
82,0.7012853470437018,32.91523554181864,0.17582752184028227,1.4716775357705703,0.4826307326873737,0.20751756351424655,0.15652704684795343,8.509704681134915,203.9252782953618,3.2224748701511556,2.1253176885987024,2.696647561643069,1.3105010006934348,1.7190205047089275,3.3311145276878897,150,0,1,1,1,1,0
83,0.6622039134912462,40.691089094793604,0.24913851851380692,1.6137851506147882,0.6333736316779895,0.1350810916905503,0.17430308849374637,7.415900671686179,229.35176384468568,2.2307120742730273,1.7619926668549062,3.0283763127196086,1.3153414161362158,1.8377893237143073,2.3933871675080987,120,1,0,1,1,0,0
84,0.7271325796505652,97.79440974842448,0.2756710282791308,1.2005275684983108,0.7983820920935927,0.17479715654751432,0.15115615700026597,12.547512337424019,166.99803440525906,4.133972702733149,2.3765685851058356,3.709362536446802,1.752136993149326,3.0271165059605845,2.0128726979543767,130,1,1,1,1,1,0
85,0.7143592382913021,17.11832121768999,0.27462523559156354,1.269644452369699,0.5148752483883269,0.20220250579297605,0.18706362267398863,6.823652810321047,144.27122659325235,3.4300675339249875,2.568545361202621,3.1934915056374,1.9442755916072874,2.1635382864453447,2.207694518380376,150,1,0,1,1,1,0
86,0.7239074550128535,32.67816626697647,0.288313988838714,1.3414666541385598,0.8603790741139176,0.23176427590088133,0.19683786870608805,7.546696099019316,187.19712530255475,4.594981213797373,2.402050867447893,2.620078239571807,1.4774267495601876,2.2614755937472952,4.282641675113181,120,1,1,1,1,1,0
87,0.7231085949562532,27.027459048857708,0.23988677839761235,1.5593031479891333,0.6569169539971542,0.20247063135475246,0.22210664326255147,5.241192573203248,210.4854837095696,4.781997711884183,1.4533757739470694,2.3630551572220906,2.6763709109261846,2.03066095955573,2.0692956459932415,110,1,1,0,1,1,0
