trial,accuracy,running_best
130,0.7252182845403184,0.7510288065843621
131,0.7456230690010298,0.7510288065843621
132,0.724049331963001,0.7510288065843621
133,0.7389516957862282,0.7510288065843621
134,0.7397119341563786,0.7510288065843621
135,0.7429451000513083,0.7510288065843621
136,0.7470497691123653,0.7510288065843621
137,0.7341902313624679,0.7510288065843621
138,0.6846707818930041,0.7510288065843621
139,0.6682074987159733,0.7510288065843621
140,0.7209660842754368,0.7510288065843621
141,0.7275525910723448,0.7510288065843621
142,0.7049433573635427,0.7510288065843621
143,0.7236774524910118,0.7510288065843621
144,0.7247046738572163,0.7510288065843621
145,0.7253086419753086,0.7510288065843621
146,0.7447246525990736,0.7510288065843621
147,0.7341902313624679,0.7510288065843621
148,0.631551901336074,0.7510288065843621
149,0.6661530559835644,0.7510288065843621
150,0.7158273381294964,0.7510288065843621
151,0.7038560411311054,0.7510288065843621
152,0.7271325796505652,0.7510288065843621
153,0.7257318952234206,0.7510288065843621
154,0.6856702619414484,0.7510288065843621
155,0.7431806484817293,0.7510288065843621
156,0.6894250513347022,0.7510288065843621
157,0.7498715973292245,0.7510288065843621
158,0.6680369989722508,0.7510288065843621
159,0.662217659137577,0.7510288065843621
160,0.6449126413155191,0.7510288065843621
161,0.724049331963001,0.7510288065843621
162,0.6027749229188079,0.7510288065843621
163,0.678847143592383,0.7510288065843621
164,0.6498973305954825,0.7510288065843621
165,0.745510518214469,0.7510288065843621
166,0.7354904982023626,0.7510288065843621
167,0.7338129496402878,0.7510288065843621
168,0.6651258346173601,0.7510288065843621
169,0.7164869029275809,0.7510288065843621
170,0.6957414058491534,0.7510288065843621
171,0.7272727272727273,0.7510288065843621
172,0.7157516675218061,0.7510288065843621
173,0.733949666153056,0.7510288065843621
174,0.7203694202154951,0.7510288065843621
175,0.6887860082304527,0.7510288065843621
176,0.6380903490759754,0.7510288065843621
177,0.7223650385604113,0.7510288065843621
178,0.7180277349768875,0.7510288065843621
179,0.6782965623396614,0.7510288065843621
180,0.7013853258081068,0.7510288065843621
181,0.686858316221766,0.7510288065843621
182,0.742299794661191,0.7510288065843621
183,0.6485097636176773,0.7510288065843621
184,0.7343268242548818,0.7510288065843621
185,0.6541623843782117,0.7510288065843621
186,0.7197943444730077,0.7510288065843621
187,0.6536685479733196,0.7510288065843621
188,0.6893353941267388,0.7510288065843621
189,0.7066392177045805,0.7510288065843621
190,0.7211934156378601,0.7510288065843621
191,0.7161190965092402,0.7510288065843621
192,0.7529532614278377,0.7529532614278377
193,0.7263374485596708,0.7529532614278377
194,0.694558521560575,0.7529532614278377
195,0.7079691516709512,0.7529532614278377
196,0.7273193234238852,0.7529532614278377
197,0.7041602465331279,0.7529532614278377
198,0.7253992787223081,0.7529532614278377
199,0.7362750128270908,0.7529532614278377
200,0.7130390143737166,0.7529532614278377
201,0.7347357619291944,0.7529532614278377
202,0.7324088341037494,0.7529532614278377
203,0.7302158273381295,0.7529532614278377
204,0.7095115681233933,0.7529532614278377
205,0.7252182845403184,0.7529532614278377
206,0.7296049256028733,0.7529532614278377
207,0.742299794661191,0.7529532614278377
208,0.7379239465570401,0.7529532614278377
209,0.7403598971722365,0.7529532614278377
210,0.7286742034943474,0.7529532614278377
211,0.7429451000513083,0.7529532614278377
212,0.74884437596302,0.7529532614278377
213,0.7284394250513347,0.7529532614278377
214,0.7269922879177377,0.7529532614278377
215,0.7099589322381931,0.7529532614278377
216,0.7097272259392692,0.7529532614278377
217,0.7294238683127572,0.7529532614278377
218,0.7378142637249872,0.7529532614278377
219,0.7317574511819116,0.7529532614278377
220,0.7342945417095778,0.7529532614278377
221,0.723305954825462,0.7529532614278377
222,0.7267591165896251,0.7529532614278377
223,0.7330595482546202,0.7529532614278377
224,0.7139188495120699,0.7529532614278377
225,0.7226502311248074,0.7529532614278377
226,0.6849948612538541,0.7529532614278377
227,0.7259640102827764,0.7529532614278377
228,0.7343589743589743,0.7529532614278377
229,0.7412551440329218,0.7529532614278377
230,0.7439588688946015,0.7529532614278377
231,0.7390633041688112,0.7529532614278377
232,0.7277406073082862,0.7529532614278377
233,0.6890713186249359,0.7529532614278377
234,0.7548918640576725,0.7548918640576725
235,0.7510288065843621,0.7548918640576725
236,0.734945959855893,0.7548918640576725
237,0.7402464065708418,0.7548918640576725
238,0.7566735112936345,0.7566735112936345
239,0.713477366255144,0.7566735112936345
240,0.7410256410256411,0.7566735112936345
241,0.7299794661190965,0.7566735112936345
242,0.746276322547509,0.7566735112936345
243,0.7511568123393316,0.7566735112936345
244,0.7170005136106831,0.7566735112936345
245,0.7284394250513347,0.7566735112936345
246,0.7417864476386037,0.7566735112936345
247,0.7313432835820896,0.7566735112936345
248,0.7317574511819116,0.7566735112936345
249,0.7336760925449871,0.7566735112936345
250,0.7366529774127311,0.7566735112936345
251,0.7435765673175745,0.7566735112936345
252,0.7252182845403184,0.7566735112936345
253,0.7219086711133915,0.7566735112936345
254,0.7274127310061602,0.7566735112936345
255,0.7385721623009759,0.7566735112936345
256,0.7312435765673175,0.7566735112936345
257,0.7293271700051361,0.7566735112936345
258,0.654835390946502,0.7566735112936345
259,0.736517719568567,0.7566735112936345
260,0.7215645908389089,0.7566735112936345
261,0.72853470437018,0.7566735112936345
262,0.7311053984575836,0.7566735112936345
263,0.733264675592173,0.7566735112936345
264,0.732683427398666,0.7566735112936345
265,0.7448559670781894,0.7566735112936345
266,0.7050952135872363,0.7566735112936345
267,0.7570621468926554,0.7570621468926554
268,0.7307692307692307,0.7570621468926554
269,0.7261048304213772,0.7570621468926554
270,0.7298407806882383,0.7570621468926554
271,0.7354904982023626,0.7570621468926554
272,0.7370313302516692,0.7570621468926554
273,0.7391975308641975,0.7570621468926554
274,0.7282051282051282,0.7570621468926554
275,0.7276464542651593,0.7570621468926554
276,0.7502564102564102,0.7570621468926554
277,0.7208226221079691,0.7570621468926554
278,0.7258230452674898,0.7570621468926554
279,0.7318952234206472,0.7570621468926554
280,0.7344632768361582,0.7570621468926554
281,0.7159732922444787,0.7570621468926554
282,0.7602669404517454,0.7602669404517454
283,0.7412731006160165,0.7602669404517454
284,0.7284394250513347,0.7602669404517454
285,0.7407407407407407,0.7602669404517454
286,0.7463991769547325,0.7602669404517454
287,0.7296049256028733,0.7602669404517454
288,0.7361396303901437,0.7602669404517454
289,0.7291880781089414,0.7602669404517454
290,0.7370313302516692,0.7602669404517454
291,0.7429451000513083,0.7602669404517454
292,0.7381930184804928,0.7602669404517454
293,0.7435897435897436,0.7602669404517454
294,0.7464065708418891,0.7602669404517454
295,0.7316195372750642,0.7602669404517454
296,0.655012853470437,0.7602669404517454
297,0.736896197327852,0.7602669404517454
298,0.7362467866323907,0.7602669404517454
299,0.7429305912596401,0.7602669404517454
300,0.7280205655526992,0.7602669404517454
301,0.7574511819116135,0.7602669404517454
