trial,accuracy,duration_s,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_x,norm_y,simplification_epsilon,skel_threshold
57,0.765914,311,15.783485668917676,0.25571554561798615,1.2713324058359876,0.14858599130148364,0.15291568731513527,7.689020112847286,265.42828657985916,3.1634728455372403,2.317936201497825,3.0829057208937214,3.088537543991946,4.427434609736376,130
58,0.757451,179,11.737513667859465,0.2482744882413795,1.4053249543733166,0.2210133358789449,0.15727859588541415,10.29447720947506,284.42169394287515,2.9701261710337463,2.4950241436000127,2.8402959813350654,3.548630049913759,5.255140379736892,120
59,0.763468,182,24.555078655874695,0.19817525965818772,1.442772074435734,0.18172231526257926,0.13636007062188218,11.11772007880055,286.81815150952156,4.4493288698316,2.487997481489784,3.5275521239212053,3.0933025005916273,4.450373620631913,130
60,0.735868,469,16.309904670148303,0.17311801959080605,1.3560438562712362,0.16364578999320725,0.10264481139173054,9.370927064329805,204.20086975873065,3.2757094896008825,2.8735316188872715,4.282783154996681,2.084348633953332,2.7163517626354214,130
61,0.748457,160,14.129315801449565,0.3046881081248423,1.3664652993639272,0.17617382462760328,0.12679199527440027,10.038083357988349,271.8481025610754,2.925624895692872,2.6108830668630327,3.3711578854488744,2.486420519479553,4.819644331208069,140
62,0.739979,183,11.524391898576955,0.2748664558813006,1.5906211242748265,0.16104219177572424,0.12274473963213643,6.3692976308073455,314.0837615499544,4.3711846668614385,1.9894930270114664,3.4394152136350047,4.3893167687320975,4.319025249784769,120
63,0.697686,316,12.019679275504487,0.31419110213744916,1.0566121094983925,0.20914392117496855,0.15072529683442776,10.484917964075393,289.64987006618856,4.262030076303828,2.0997127480863695,4.109131973859013,3.2576123910263863,3.2473507362850595,140
64,0.731282,471,22.162774748808076,0.28786408141925757,1.1377266158517112,0.1641326447288168,0.13142903983307996,9.341698320189288,222.9981451405515,3.2927124711928015,1.8696712229951895,3.0570728537237413,3.8800178153587273,3.421880597634679,130
65,0.756035,133,12.975397493790286,0.2795336833458831,1.3516030020314531,0.18105868332088942,0.1550573891195302,10.813322666420762,282.39939616572565,3.9795738007230437,2.3727524926673844,4.058547594996235,3.076470093509739,4.904053394171733,150
66,0.752832,351,13.30214078791369,0.2302833762533701,1.0052013600992251,0.1902992984947015,0.1526707857877973,9.992213577603923,334.150601375277,3.0968213405683467,1.9370091564430143,3.058648878811983,3.4702768691422916,4.2032575810277635,130
67,0.751285,146,26.376697746018614,0.2827693444430636,1.2691683822112925,0.1536086125279058,0.1511850577132851,9.581305264289359,268.7308926650208,4.9381612015231315,2.401069168082372,3.373603270256066,2.140126198984425,4.391296359096972,140
68,0.760267,154,7.57924900242178,0.2428327691851846,1.299306646232177,0.16241448765019834,0.17968774377296015,10.103917698555225,247.89295011650623,3.1477130370459667,1.7557427184130234,3.947575386696629,3.4562522577858044,3.978085051325394,140
69,0.746276,131,27.200584975365285,0.20014618302621062,1.1719408289604667,0.11503547078390756,0.13171047955696913,8.108265642585778,298.537622519118,4.277751947281093,2.6819474690283087,3.1931856399071337,3.227603642211263,4.411893646751691,140
