trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
93,0.7136,COMPLETE,246.2,23.239595,0.220725,0.838166,0.181505,0.198125,8.04323,197.849979,3.301952,2.38762,2.196557,3.869227,2.635766,3.90929,130,1,1,1,1,0,1
94,0.7045,COMPLETE,291.7,12.810066,0.197337,0.98789,0.210536,0.215547,13.808245,272.360424,2.118134,1.671032,1.785755,2.02627,3.407134,3.806631,140,1,1,1,1,0,1
95,0.6824,COMPLETE,606.9,6.46083,0.253292,1.020476,0.232742,0.225498,10.664319,136.07996,2.250385,2.179962,2.452659,2.323068,2.318813,2.737406,140,1,1,1,1,0,1
96,0.5944,COMPLETE,692.1,36.745175,0.129646,1.15379,0.198452,0.245224,6.827617,221.612213,2.923941,1.379022,1.50388,2.37656,3.844588,2.280403,140,1,1,1,1,0,1
97,0.7047,COMPLETE,141.6,28.401622,0.207038,1.090428,0.19294,0.244421,6.752961,225.048487,3.295567,2.158266,1.548243,2.04966,3.635125,5.725479,140,1,1,1,1,0,0
98,0.7179,COMPLETE,179.3,5.280212,0.217807,1.270345,0.249756,0.193366,9.589504,190.503145,2.222916,1.204404,1.652009,3.414051,3.857082,4.800218,140,1,1,1,1,0,0
99,0.7034,COMPLETE,436.7,9.714102,0.279966,0.985077,0.227883,0.221545,11.16384,216.944927,2.772582,1.987985,2.065599,3.408484,2.18991,3.680649,170,1,1,1,1,0,1
100,0.6949,COMPLETE,187.3,4.571817,0.263419,0.839401,0.204348,0.219025,10.937417,238.01901,2.868925,1.76208,2.215095,3.595754,2.957125,4.777465,120,1,1,1,1,0,0
101,0.741,COMPLETE,227.4,16.927182,0.231451,1.036066,0.180053,0.213644,12.417208,331.944298,2.910283,2.074356,1.862793,2.14422,3.263864,4.228031,140,1,1,1,1,0,0
102,0.684,COMPLETE,352.6,8.368064,0.257412,1.144231,0.233509,0.248903,8.672415,213.141634,4.673618,2.700117,1.003156,3.641928,4.130301,3.493006,160,1,1,1,1,0,0
103,0.7134,COMPLETE,274.4,6.830346,0.198087,1.372038,0.164618,0.234005,9.681463,203.507312,3.050076,1.287269,2.664614,1.185155,3.160748,3.281663,170,1,1,1,1,0,0
104,0.6936,COMPLETE,254.0,8.994642,0.27269,0.90776,0.267509,0.295177,8.59699,204.457049,1.432896,1.795353,2.750412,2.19684,1.926098,3.836245,150,1,1,1,1,0,0
105,0.6917,COMPLETE,397.1,33.587238,0.231744,0.966892,0.206102,0.249746,8.584427,301.250898,1.095049,2.071508,2.667439,3.102591,4.061499,3.724579,150,1,1,1,1,0,0
106,0.7152,COMPLETE,136.6,7.83335,0.158754,1.21463,0.184523,0.221075,10.130045,254.08189,1.723945,0.623995,1.990567,1.885561,2.455586,5.222748,130,1,1,1,1,0,0
107,0.7205,COMPLETE,98.9,13.089643,0.234438,1.044668,0.115233,0.174142,14.479001,191.6856,3.412635,2.243379,1.591303,2.336164,2.242747,6.094083,160,1,1,1,1,1,0
