trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
26,0.780062,2,0.7864,3.8223,4.0015,0.4108,4.5723,2.1466,345.7326,213.1326,1.1686,8.2859,30.5308,2.7553,1.8299
27,0.778064,3,0.8088,4.2634,4.8627,1.2807,4.0464,1.9471,279.405,156.0166,2.8178,11.7296,47.5256,3.8032,5.1959
28,0.765432,0,0.9461,1.6035,2.3529,0.8787,3.042,3.4161,129.915,171.0732,1.684,7.7226,58.4144,5.5598,2.6651
29,0.785273,1,0.9539,2.418,2.9889,0.9796,4.102,3.1318,259.188,166.4654,1.0676,14.7266,74.2548,4.2419,5.3412
30,0.776465,2,0.6671,2.6123,4.437,1.2098,2.0352,4.3867,247.1768,248.6822,1.5621,10.4263,68.0344,2.25,3.7226
31,0.773031,3,1.3067,1.8739,5.6291,2.6827,3.6477,5.3227,278.7222,80.7039,1.5458,13.9442,59.336,5.3444,2.6685
32,0.765947,0,0.8241,2.2993,3.8908,1.5212,3.3191,3.409,274.6136,240.9999,1.2911,14.564,42.9673,2.2255,3.1668
33,0.776235,1,1.2673,3.3552,6.2235,0.9218,3.6688,3.7024,319.5971,161.721,1.5236,14.3772,38.1988,5.4115,6.3027
34,0.774923,2,1.1858,4.8756,3.6324,1.7092,3.5606,3.3241,342.2812,193.1767,1.0632,9.8502,36.6921,3.1218,3.356
35,0.772751,3,0.7261,3.7475,4.9177,2.7547,3.485,5.2164,242.9934,187.6398,0.482,14.6333,72.7835,4.6467,4.1599
36,0.770973,0,0.6516,3.5744,4.177,1.7743,1.6131,3.7229,346.3795,73.8693,0.3452,17.2017,78.6951,5.1416,4.5312
37,0.779835,1,0.8846,4.1934,5.8577,1.8942,3.2432,3.5363,252.993,176.5877,1.2785,13.5514,57.8627,4.0491,2.2174
38,0.769389,2,0.9986,2.7122,7.3054,1.5782,3.673,2.9144,305.9291,156.6113,1.33,11.3404,63.953,3.7519,5.6148
39,0.778006,3,1.0885,3.7195,2.6526,1.4921,3.6977,3.8806,217.2243,192.9234,2.1024,13.9738,90.1814,6.6243,4.5708
40,0.758869,0,1.5042,2.0936,5.1299,1.5788,2.9842,5.0259,317.0563,101.798,1.3621,18.1995,69.2501,3.14,2.4597
41,0.783728,1,0.9293,6.7488,5.3512,0.5488,2.5796,3.4869,283.0779,206.5375,1.966,10.5863,40.6743,5.3123,4.3643
42,0.772867,2,0.8644,4.8377,7.3244,2.3618,2.2264,2.4735,316.9706,188.7253,1.7943,14.1751,59.6772,6.0598,3.8829
43,0.781603,3,0.8092,4.564,5.6772,1.6231,2.4327,3.2701,279.6663,295.1186,3.4067,14.0906,51.6856,6.216,4.452
44,0.768519,0,1.159,3.1562,5.4795,1.1987,3.2643,3.2073,258.3195,81.2627,0.8469,12.8046,60.1287,6.4379,4.0525
45,0.785898,1,1.1378,4.7397,3.8749,1.0914,1.5566,4.0623,220.1507,243.6697,2.0881,7.5319,47.4415,5.6318,3.7516
46,0.778006,2,0.6768,4.6128,4.6644,0.7815,4.1644,4.0414,252.5327,216.1693,2.6096,8.0865,56.9801,5.654,2.6535
47,0.783145,3,1.0462,2.9079,4.7267,1.3297,4.241,3.4504,309.2394,210.6631,0.9099,15.8413,68.5017,3.1423,3.0567
48,0.764524,0,0.8925,3.4632,5.815,0.5194,3.0278,3.553,254.6421,206.7932,0.9369,11.4966,41.8432,3.2903,2.0169
49,0.785898,1,1.3912,3.9637,4.3683,2.0228,2.44,3.7318,299.9,177.6489,1.8708,11.7165,70.095,4.8544,6.3626
50,0.769152,2,1.2144,5.9357,6.1344,0.9104,1.0301,3.4189,255.7045,271.9886,1.8061,17.054,46.0271,4.7216,4.4551
51,0.777778,3,1.172,4.0274,4.3997,2.6385,3.4377,1.8797,260.4928,259.0777,1.6531,15.3999,48.2796,3.2271,3.764
52,0.77018,0,1.0824,6.1197,4.447,1.3688,4.6307,3.3201,349.9108,231.4604,1.3346,13.3759,46.3027,6.7886,1.6758
53,0.774177,1,1.2534,3.7294,5.4863,1.6891,1.793,2.697,305.4187,217.0463,2.6139,5.1284,75.2209,6.9505,5.086
54,0.772354,2,1.0713,3.2696,4.4725,1.5129,4.5388,3.6143,252.3519,239.0728,1.4468,6.0214,65.0835,3.8758,4.7784
55,0.780864,3,1.1214,2.7848,2.3893,1.4294,2.7256,4.0645,299.4924,214.1121,1.9777,12.2171,36.9219,7.1557,4.4844
56,0.764797,0,1.3343,2.9643,2.6712,1.0026,1.7679,5.42,243.3427,173.3169,2.2166,9.1571,84.4323,3.424,2.7446
57,0.783325,1,1.0232,4.934,5.1516,1.4995,1.3162,3.0979,207.7337,245.5458,2.7811,10.3567,57.1994,4.7662,4.9153
58,0.77184,2,1.3616,4.993,5.1084,0.8813,3.1201,3.8615,266.4281,160.6876,1.3631,9.2963,69.3854,5.058,3.1974
